model: Linear SVM
+------+-----+--------+--------+--------+
| PCA  |  pi |   C    | z-norm | minDCF |
+------+-----+--------+--------+--------+
| None | 0.1 | 1e-05  | False  |  1.0   |
| None | 0.1 | 0.0001 | False  |  1.0   |
| None | 0.1 | 0.001  | False  |  1.0   |
| None | 0.1 |  0.01  | False  |  1.0   |
| None | 0.1 |  0.1   | False  |  1.0   |
| None | 0.1 |   1    | False  |  1.0   |
| None | 0.1 |   10   | False  | 0.983  |
| None | 0.1 |  100   | False  | 0.988  |
|  9   | 0.1 | 1e-05  | False  |  1.0   |
|  9   | 0.1 | 0.0001 | False  |  1.0   |
|  9   | 0.1 | 0.001  | False  |  1.0   |
|  9   | 0.1 |  0.01  | False  |  1.0   |
|  9   | 0.1 |  0.1   | False  |  1.0   |
|  9   | 0.1 |   1    | False  |  1.0   |
|  9   | 0.1 |   10   | False  |  0.71  |
|  9   | 0.1 |  100   | False  | 0.751  |
|  8   | 0.1 | 1e-05  | False  |  1.0   |
|  8   | 0.1 | 0.0001 | False  |  1.0   |
|  8   | 0.1 | 0.001  | False  |  1.0   |
|  8   | 0.1 |  0.01  | False  |  1.0   |
|  8   | 0.1 |  0.1   | False  |  1.0   |
|  8   | 0.1 |   1    | False  |  1.0   |
|  8   | 0.1 |   10   | False  | 0.744  |
|  8   | 0.1 |  100   | False  | 0.877  |
|  7   | 0.1 | 1e-05  | False  |  1.0   |
|  7   | 0.1 | 0.0001 | False  |  1.0   |
|  7   | 0.1 | 0.001  | False  |  1.0   |
|  7   | 0.1 |  0.01  | False  |  1.0   |
|  7   | 0.1 |  0.1   | False  |  1.0   |
|  7   | 0.1 |   1    | False  |  1.0   |
|  7   | 0.1 |   10   | False  | 0.752  |
|  7   | 0.1 |  100   | False  |  0.73  |
+------+-----+--------+--------+--------+

model: polynomial SVM
+------+-----+--------+--------+--------+
| PCA  |  pi |   C    | z-norm | minDCF |
+------+-----+--------+--------+--------+
| None | 0.1 | 1e-05  | False  |  1.0   |
| None | 0.1 | 0.0001 | False  |  1.0   |
| None | 0.1 | 0.001  | False  |  1.0   |
| None | 0.1 |  0.01  | False  |  1.0   |
| None | 0.1 |  0.1   | False  |  1.0   |
| None | 0.1 |   1    | False  |  1.0   |
| None | 0.1 |   10   | False  | 0.999  |
| None | 0.1 |  100   | False  |  1.0   |
|  9   | 0.1 | 1e-05  | False  |  1.0   |
|  9   | 0.1 | 0.0001 | False  |  1.0   |
|  9   | 0.1 | 0.001  | False  |  1.0   |
|  9   | 0.1 |  0.01  | False  |  1.0   |
|  9   | 0.1 |  0.1   | False  |  1.0   |
|  9   | 0.1 |   1    | False  |  1.0   |
|  9   | 0.1 |   10   | False  |  0.56  |
|  9   | 0.1 |  100   | False  |  0.56  |
|  8   | 0.1 | 1e-05  | False  |  1.0   |
|  8   | 0.1 | 0.0001 | False  |  1.0   |
|  8   | 0.1 | 0.001  | False  |  1.0   |
|  8   | 0.1 |  0.01  | False  |  1.0   |
|  8   | 0.1 |  0.1   | False  |  1.0   |
|  8   | 0.1 |   1    | False  |  1.0   |
|  8   | 0.1 |   10   | False  | 0.561  |
|  8   | 0.1 |  100   | False  | 0.538  |
|  7   | 0.1 | 1e-05  | False  |  1.0   |
|  7   | 0.1 | 0.0001 | False  |  1.0   |
|  7   | 0.1 | 0.001  | False  |  1.0   |
|  7   | 0.1 |  0.01  | False  |  1.0   |
|  7   | 0.1 |  0.1   | False  |  1.0   |
|  7   | 0.1 |   1    | False  |  1.0   |
|  7   | 0.1 |   10   | False  | 0.611  |
|  7   | 0.1 |  100   | False  |  0.64  |
+------+-----+--------+--------+--------+

model: RBF SVM
+------+-----+--------+--------+--------+
| PCA  |  pi |   C    | z-norm | minDCF |
+------+-----+--------+--------+--------+
| None | 0.1 | 1e-05  | False  |  1.0   |
| None | 0.1 | 0.0001 | False  |  1.0   |
| None | 0.1 | 0.001  | False  |  1.0   |
| None | 0.1 |  0.01  | False  |  1.0   |
| None | 0.1 |  0.1   | False  |  1.0   |
| None | 0.1 |   1    | False  |  1.0   |
| None | 0.1 |   10   | False  | 0.952  |
| None | 0.1 |  100   | False  | 0.952  |
|  9   | 0.1 | 1e-05  | False  |  1.0   |
|  9   | 0.1 | 0.0001 | False  |  1.0   |
|  9   | 0.1 | 0.001  | False  |  1.0   |
|  9   | 0.1 |  0.01  | False  |  1.0   |
|  9   | 0.1 |  0.1   | False  |  1.0   |
|  9   | 0.1 |   1    | False  |  1.0   |
|  9   | 0.1 |   10   | False  |  1.0   |
|  9   | 0.1 |  100   | False  |  1.0   |
|  8   | 0.1 | 1e-05  | False  |  1.0   |
|  8   | 0.1 | 0.0001 | False  |  1.0   |
|  8   | 0.1 | 0.001  | False  |  1.0   |
|  8   | 0.1 |  0.01  | False  |  1.0   |
|  8   | 0.1 |  0.1   | False  |  1.0   |
|  8   | 0.1 |   1    | False  |  1.0   |
|  8   | 0.1 |   10   | False  |  1.0   |
|  8   | 0.1 |  100   | False  |  1.0   |
|  7   | 0.1 | 1e-05  | False  |  1.0   |
|  7   | 0.1 | 0.0001 | False  |  1.0   |
|  7   | 0.1 | 0.001  | False  |  1.0   |
|  7   | 0.1 |  0.01  | False  |  1.0   |
|  7   | 0.1 |  0.1   | False  |  1.0   |
|  7   | 0.1 |   1    | False  |  1.0   |
|  7   | 0.1 |   10   | False  |  1.0   |
|  7   | 0.1 |  100   | False  |  1.0   |
+------+-----+--------+--------+--------+
