model: Logistic Regression with Quadratic = False
+------+-----+--------+--------+--------+
| PCA  |  pi | lambda | z-norm | minDCF |
+------+-----+--------+--------+--------+
| None | 0.1 | 1e-05  | False  | 0.718  |
| None | 0.1 | 0.0001 | False  | 0.718  |
| None | 0.1 | 0.001  | False  | 0.718  |
| None | 0.1 |  0.01  | False  | 0.717  |
| None | 0.1 |  0.1   | False  | 0.714  |
| None | 0.1 |   1    | False  | 0.701  |
| None | 0.1 |   10   | False  | 0.731  |
| None | 0.1 |  100   | False  | 0.746  |
|  9   | 0.1 | 1e-05  | False  | 0.733  |
|  9   | 0.1 | 0.0001 | False  | 0.733  |
|  9   | 0.1 | 0.001  | False  |  0.73  |
|  9   | 0.1 |  0.01  | False  | 0.713  |
|  9   | 0.1 |  0.1   | False  | 0.738  |
|  9   | 0.1 |   1    | False  | 0.744  |
|  9   | 0.1 |   10   | False  | 0.758  |
|  9   | 0.1 |  100   | False  | 0.753  |
|  8   | 0.1 | 1e-05  | False  | 0.733  |
|  8   | 0.1 | 0.0001 | False  | 0.733  |
|  8   | 0.1 | 0.001  | False  | 0.725  |
|  8   | 0.1 |  0.01  | False  | 0.713  |
|  8   | 0.1 |  0.1   | False  | 0.736  |
|  8   | 0.1 |   1    | False  | 0.739  |
|  8   | 0.1 |   10   | False  | 0.755  |
|  8   | 0.1 |  100   | False  | 0.749  |
|  7   | 0.1 | 1e-05  | False  | 0.731  |
|  7   | 0.1 | 0.0001 | False  |  0.73  |
|  7   | 0.1 | 0.001  | False  | 0.725  |
|  7   | 0.1 |  0.01  | False  | 0.706  |
|  7   | 0.1 |  0.1   | False  | 0.738  |
|  7   | 0.1 |   1    | False  | 0.739  |
|  7   | 0.1 |   10   | False  | 0.757  |
|  7   | 0.1 |  100   | False  | 0.752  |
| None | 0.1 | 1e-05  |  True  | 0.718  |
| None | 0.1 | 0.0001 |  True  | 0.718  |
| None | 0.1 | 0.001  |  True  |  0.72  |
| None | 0.1 |  0.01  |  True  |  0.71  |
| None | 0.1 |  0.1   |  True  | 0.729  |
| None | 0.1 |   1    |  True  | 0.743  |
| None | 0.1 |   10   |  True  | 0.757  |
| None | 0.1 |  100   |  True  | 0.758  |
|  9   | 0.1 | 1e-05  |  True  | 0.733  |
|  9   | 0.1 | 0.0001 |  True  | 0.733  |
|  9   | 0.1 | 0.001  |  True  |  0.73  |
|  9   | 0.1 |  0.01  |  True  | 0.713  |
|  9   | 0.1 |  0.1   |  True  | 0.738  |
|  9   | 0.1 |   1    |  True  | 0.744  |
|  9   | 0.1 |   10   |  True  | 0.758  |
|  9   | 0.1 |  100   |  True  | 0.758  |
|  8   | 0.1 | 1e-05  |  True  | 0.733  |
|  8   | 0.1 | 0.0001 |  True  | 0.733  |
|  8   | 0.1 | 0.001  |  True  | 0.725  |
|  8   | 0.1 |  0.01  |  True  | 0.713  |
|  8   | 0.1 |  0.1   |  True  | 0.736  |
|  8   | 0.1 |   1    |  True  | 0.739  |
|  8   | 0.1 |   10   |  True  | 0.755  |
|  8   | 0.1 |  100   |  True  | 0.752  |
