model: GMM
+------+--------+-----------+--------+--------+
| PCA  | target | nontarget | z-norm | minDCF |
+------+--------+-----------+--------+--------+
| None |   0    |     2     | False  | 0.258  |
|  9   |   0    |     2     | False  | 0.269  |
|  8   |   0    |     2     | False  | 0.261  |
|  7   |   0    |     2     | False  | 0.262  |
| None |   0    |     2     |  True  | 0.258  |
|  9   |   0    |     2     |  True  | 0.269  |
|  8   |   0    |     2     |  True  | 0.261  |
|  7   |   0    |     2     |  True  | 0.262  |
| None |   0    |     3     | False  | 0.244  |
|  9   |   0    |     3     | False  | 0.284  |
|  8   |   0    |     3     | False  |  0.28  |
|  7   |   0    |     3     | False  | 0.276  |
| None |   0    |     3     |  True  | 0.244  |
|  9   |   0    |     3     |  True  | 0.284  |
|  8   |   0    |     3     |  True  |  0.28  |
|  7   |   0    |     3     |  True  | 0.276  |
| None |   0    |     4     | False  | 0.241  |
|  9   |   0    |     4     | False  | 0.282  |
|  8   |   0    |     4     | False  | 0.268  |
|  7   |   0    |     4     | False  | 0.269  |
| None |   0    |     4     |  True  | 0.235  |
|  9   |   0    |     4     |  True  | 0.282  |
|  8   |   0    |     4     |  True  | 0.268  |
|  7   |   0    |     4     |  True  | 0.269  |
| None |   1    |     2     | False  | 0.258  |
|  9   |   1    |     2     | False  | 0.269  |
|  8   |   1    |     2     | False  | 0.261  |
|  7   |   1    |     2     | False  | 0.262  |
| None |   1    |     2     |  True  | 0.258  |
|  9   |   1    |     2     |  True  | 0.269  |
|  8   |   1    |     2     |  True  | 0.261  |
|  7   |   1    |     2     |  True  | 0.262  |
| None |   1    |     3     | False  | 0.244  |
|  9   |   1    |     3     | False  | 0.284  |
|  8   |   1    |     3     | False  |  0.28  |
|  7   |   1    |     3     | False  | 0.276  |
| None |   1    |     3     |  True  | 0.244  |
|  9   |   1    |     3     |  True  | 0.284  |
|  8   |   1    |     3     |  True  |  0.28  |
|  7   |   1    |     3     |  True  | 0.276  |
| None |   1    |     4     | False  | 0.241  |
|  9   |   1    |     4     | False  | 0.282  |
|  8   |   1    |     4     | False  | 0.268  |
|  7   |   1    |     4     | False  | 0.269  |
| None |   1    |     4     |  True  | 0.235  |
|  9   |   1    |     4     |  True  | 0.282  |
|  8   |   1    |     4     |  True  | 0.268  |
|  7   |   1    |     4     |  True  | 0.269  |
+------+--------+-----------+--------+--------+

